2026-05-27 14:12:33, MOVE, v:1, k:ed@apagando, mode:PICK
2026-05-27 14:13:28, MOVE, v:1, k:ed@apagando, mode:PICK
2026-05-27 14:20:13, MOVE, v:1, k:ed@buscas, mode:EDIT
2026-05-27 14:20:13, MOVE, v:1, k:ed@buscas, mode:EDIT
2026-05-27 14:20:13, MOVE, v:1, k:ed@buscas, mode:EDIT
2026-05-27 14:20:13, MOVE, v:1, k:ed@especiais, mode:EDIT
2026-05-27 14:20:13, MOVE, v:1, k:ed@especiais, mode:EDIT
2026-05-27 14:20:13, MOVE, v:1, k:ed@especiais, mode:EDIT
2026-05-27 14:46:23, MOVE, v:1, k:ed@apagando, mode:PICK
2026-05-27 14:46:38, MOVE, v:1, k:ed@apagando, mode:BACK
